produto;quantidade;preco_unitario
Notebook Dell Inspiron;10.0;3500
Mouse Logitech MX3;25.0;200
Teclado Mecânico Redragon;5.0;350
Monitor LG 24 polegadas;30.0;1200
Headset HyperX Cloud;12.0;450
Cadeira Gamer ThunderX3;8.0;1800
SSD Kingston 480GB;40.0;280
Memória RAM Corsair 8GB;15.0;220
Placa de Vídeo RTX 3060;22.0;2800
Processador Intel i5;3.0;1400
Impressora HP DeskJet;18.0;600
Webcam Logitech C920;7.0;450
Roteador TP-Link;50.0;180
Fonte Corsair 650W;9.0;380
Gabinete NZXT H510;33.0;520
Cooler CPU Noctua;11.0;350
Pendrive Kingston 64GB;6.0;60
HD Externo Seagate 1TB;27.0;320
Cabo HDMI 2m;14.0;40
Switch TP-Link 8 Portas;45.0;200
Tablet Samsung Galaxy;20.0;1500
Caixa de Som JBL Flip;35.0;450
Nobreak APC 700VA;4.0;700
Mousepad Gamer XL;19.0;90
Suporte Monitor Articulado;28.0;250
Adaptador USB-C Hub;13.0;150
Leitor de Cartão SD;55.0;45
Fritadeira Air Fryer Philips;16.0;700
Cafeteira Nespresso;23.0;600
Aspirador Robô Roomba;38.0;2200
Smartphone Samsung A54;10.0;1800
Fone Bluetooth Sony;29.0;400
Smartwatch Xiaomi Band 8;6.0;250
Câmera GoPro Hero 11;32.0;2000
Controle PS5 DualSense;11.0;450
Smart TV 50 TCL;9.0;2500
Carregador Portátil Anker;42.0;150
Suporte Notebook;17.0;120
Mesa Digitalizadora Wacom;24.0;800
Microfone Blue Yeti;3.0;900
Estabilizador NHS 500VA;19.0;300
Filtro de Linha 6 Tomadas;8.0;80
Régua LED RGB;48.0;70
Capa Notebook 15 polegadas;10.0;60
Pasta Térmica Arctic MX4;36.0;35
Teclado Sem Fio Multilaser;12.0;130
Mouse Vertical Ergonômico;7.0;180
Monitor Ultrawide 29;26.0;2200
Notebook Lenovo IdeaPad;15.0;3200
Placa Mãe Asus B550;47.0;700
Processador AMD Ryzen 5;21.0;1200
Memória RAM Kingston 16GB;37.0;380
SSD NVMe Samsung 1TB;4.0;600
Cooler Gamer ARGB;20.0;200
Gabinete Mid Tower Deepcool;30.0;450
Placa de Vídeo RX 6600;14.0;1800
Fonte Modular Seasonic 750W;58.0;650
Hub USB 3.0 Anker;17.0;130
Dock Station USB-C;25.0;350
Monitor 27 IPS Full HD;39.0;1100
Headset Bluetooth JBL;11.0;380
Teclado Gamer RGB Corsair;31.0;500
Mouse Gamer Razer;7.0;300
Notebook Asus VivoBook;34.0;3800
Webcam Full HD Intelbras;13.0;280
Impressora Laser HP;9.0;1200
Scanner Canon;44.0;800
Roteador Mesh Google;18.0;600
Switch Gerenciável Cisco;26.0;1500
NAS Synology 2 Baias;4.0;1800
HD Interno WD 2TB;20.0;400
Pendrive USB-C 128GB;8.0;90
Carregador Rápido 65W;52.0;120
Cabo USB-C para USB-C;10.0;35
Adaptador HDMI para VGA;37.0;45
Suporte TV de Parede;13.0;150
Caixa de Som Bluetooth;7.0;250
Soundbar Samsung;28.0;900
Home Theater LG;16.0;1400
Projetor Epson;49.0;3500
Receiver AV Denon;22.0;2800
Smart Speaker Amazon Echo;38.0;400
Lâmpada Smart Intelbras;5.0;80
Tomada Inteligente;21.0;90
Câmera IP Intelbras;31.0;280
Alarme Residencial;15.0;500
Fechadura Digital;60.0;700
Sensor Movimento Smart;18.0;150
Thermostat Inteligente;27.0;350
Régua Inteligente 4 Tomadas;41.0;160
Central de Automação;12.0;1200
Gateway Zigbee;33.0;200
Sensor de Temperatura;7.0;120
Umidificador de Ar;35.0;280
Purificador de Ar;14.0;900
Ventilador Tower Philips;10.0;400
Micro-ondas Electrolux;5.0;600
